,0,1
198,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,203
224,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,205
150,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,206
180,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,206
2,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,207
126,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,207
53,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,207
183,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,208
89,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,208
54,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,208
18,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,208
234,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,208
117,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,208
233,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,209
12,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,209
32,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,209
45,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,209
17,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,209
7,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,209
176,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,209
191,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,209
48,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,210
230,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,210
77,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,210
235,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,210
200,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,210
161,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,211
10,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,211
20,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,211
19,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,211
136,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,211
66,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,211
92,hfm=1.5_bcm=8.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,211
210,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,211
211,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,211
217,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,211
154,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,212
193,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,212
34,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,212
67,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,212
124,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,212
179,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,213
147,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,213
122,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,213
194,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,214
62,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,214
205,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,214
28,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,214
186,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,214
